"Feature" "Gain" "Cover" "Frequency"
"132" "AMT_CREDIT_MEAN" 0.00147299236081678 NA 0.00320418098956308
"133" "Add_DIFF_RECEIVABLE_PRINCIPAL_BALANCE_CARD_MEAN" 0.00143461442600934 NA 0.00152431911153972
"134" "Mortgage_Nr" 0.00141742346890014 NA 0.0013998848983528
"135" "Add_DIFF_RECEIVED_GOODS_PRICE_PREV_MEAN" 0.0014149158558263 NA 0.00242646715714486
"136" "NFLAG_INSURED_ON_APPROVAL_0" 0.00136409648627454 NA 0.00138433062170444
"137" "TOTALAREA_MODE" 0.00135104558608773 NA 0.00256645564698014
"138" "AMT_ANNUITY_SUM" 0.00132024100622573 NA 0.00241091288049649
"139" "BUREAU_STATUS_ENTROPY_MEAN" 0.00128940885811939 NA 0.00245757571044159
"140" "DAYS_TERMINATION_MEAN" 0.00128613904772171 NA 0.00259756420027687
"141" "REGION_RATING_CLIENT_W_CITY.3" 0.00126561712997983 NA 0.00135322206840771
"142" "SK_DPD_DEF_MAX_POS" 0.0012621143742314 NA 0.00107324508873715
"143" "AMT_CREDIT_MIN" 0.00122236373871181 NA 0.00250423854038668
"144" "PRODUCT_COMBINATION_Cash_X.Sell._low" 0.00120657845712139 NA 0.00125989640851752
"145" "NA_EXT_SOURCE_3" 0.00120526730764559 NA 0.00132211351511098
"146" "DAYS_LAST_DUE_MEAN" 0.00118358610441574 NA 0.00241091288049649
"147" "DAYS_FIRST_DUE_MEAN" 0.00118054516025401 NA 0.00230203294395794
"148" "REGION_RATING_CLIENT_W_CITY.1" 0.00117231762574351 NA 0.000902148045605139
"149" "BUREAU_STATUS_ENTROPY_MAX" 0.00117226034466962 NA 0.00222426156071612
"150" "CODE_REJECT_REASON_HC" 0.00112399886027763 NA 0.00150876483489135
"151" "SK_DPD_MEAN_POS" 0.00111756843456146 NA 0.00222426156071612
"152" "NAME_YIELD_GROUP_low_action" 0.00110852136743219 NA 0.00105769081208878
"153" "Add_CARD_DRAWINGS_POS_per_CNT_MEAN" 0.00110705781430606 NA 0.00189762175110046
"154" "AMT_ANNUITY_MIN" 0.00109368552384046 NA 0.00241091288049649
"155" "Consumer_credit_Nr" 0.00108296264896653 NA 0.00211538162417757
"156" "BUREAU_STATUS_0_MEAN" 0.00107802767180713 NA 0.00259756420027687
"157" "Add_RATIO_LIMIT_CREDIT_BUREAU_MEAN" 0.00107665488920285 NA 0.00191317602774883
"158" "DAYS_FIRST_DRAWING_MAX" 0.00107317735633259 NA 0.00111990791868224
"159" "REG_CITY_NOT_LIVE_CITY" 0.00107298483002266 NA 0.00122878785522079
"160" "Add_RATIO_PAYMENT_BUREAU_MEAN" 0.00104885615464747 NA 0.00183540464450701
"161" "Add_DIFF_RECEIVED_GOODS_PRICE_PREV_MAX" 0.00104440375767333 NA 0.00171097043132009
"162" "DEF_60_CNT_SOCIAL_CIRCLE" 0.00103604342337766 NA 0.000995473705495326
"163" "NAME_TYPE_SUITE_Unaccompanied" 0.00101393727642892 NA 0.00241091288049649
"164" "Add_DIFF_DRAWINGS_LIMIT_CARD_MAX" 0.000965526869744895 NA 0.00237980432719976
"165" "AMT_REQ_CREDIT_BUREAU_YEAR" 0.000955550109130694 NA 0.00185095892115537
"166" "AMT_APPLICATION_MIN" 0.000952187416851639 NA 0.00186651319780374
"167" "Credit_card_Nr" 0.000938614295082753 NA 0.00167986187802336
"168" "AMT_CREDIT_SUM_OVERDUE_SUM" 0.000922830861696315 NA 0.00107324508873715
"169" "Add_DIFF_MEAN_PAYMENT_INST_MIN_CARD" 0.000922202956663384 NA 0.00132211351511098
"170" "NAME_SELLER_INDUSTRY_Connectivity" 0.000910488971856396 NA 0.00164875332472663
"171" "WEEKDAY_APPR_PROCESS_START_THURSDAY" 0.000907854393263886 NA 0.00192873030439719
"172" "DAYS_LAST_DUE_MIN" 0.000900308307684533 NA 0.00174207898461682
"173" "AMT_CREDIT_SUM_LIMIT_MEAN" 0.000895974954452151 NA 0.00160209049478154
"174" "PRODUCT_COMBINATION_Cash_Street._high" 0.000887533798993435 NA 0.000824376662363317
"175" "AMT_REQ_CREDIT_BUREAU_QRT" 0.000872222093734504 NA 0.00136877634505607
"176" "DAYS_TERMINATION_MIN" 0.00086919346142018 NA 0.00174207898461682
"177" "NAME_CLIENT_TYPE_New" 0.000868021534681731 NA 0.00127545068516589
"178" "Add_DIFF_BALANCE_LIMIT_CARD_MEAN" 0.000865272541010956 NA 0.00146210200494626
"179" "BUREAU_MONTH_BALANCE_Nr_MEAN" 0.000851948147504692 NA 0.0018820674744521
"180" "Add_DIFF_PAYMENT_INST_MIN_CARD_MEAN" 0.000851508372086453 NA 0.00102658225879205
"181" "CODE_REJECT_REASON_miss" 0.000844342496738772 NA 0.00141543917500117
"182" "CODE_REJECT_REASON_SCOFR" 0.000842759283361237 NA 0.000295531256318925
"183" "OBS_60_CNT_SOCIAL_CIRCLE" 0.00083684643976021 NA 0.00167986187802336
"184" "ORGANIZATION_TYPE.Self.employed" 0.000830631091826256 NA 0.000964365152198597
"185" "AMT_DOWN_PAYMENT_MIN" 0.000817129184004592 NA 0.00225537011401285
"186" "Nr_BUREAU" 0.000769739130948782 NA 0.00172652470796846
"187" "BUREAU_STATUS_X_MEAN" 0.000767428444549212 NA 0.00178874181456191
"188" "CHANNEL_TYPE_Credit_and_cash_offices" 0.000730509828071417 NA 0.00153987338818808
"189" "AMT_DRAWINGS_ATM_CURRENT_MEAN" 0.000730437118458958 NA 0.000824376662363317
"190" "NFLAG_INSURED_ON_APPROVAL_NA" 0.000728975624713524 NA 0.0011821250252757
"191" "AMT_CREDIT_SUM_LIMIT_MAX" 0.000718569963976424 NA 0.00136877634505607
"192" "Nr_INSTALLMENTS_PREV" 0.000713461289683924 NA 0.000839930939011681
"193" "RATE_DOWN_PAYMENT_MIN" 0.00070804831646405 NA 0.00152431911153972
"194" "OCCUPATION_TYPE.Core.staff" 0.000704245734515258 NA 0.000575508235989485
"195" "APARTMENTS_MODE" 0.000699894401501221 NA 0.00127545068516589
"196" "NUM_INSTALMENT_VERSION_4" 0.000699567857063207 NA 0.0014465477282979
"197" "BUREAU_STATUS_1_MEAN" 0.000693620271018748 NA 0.000964365152198597
"198" "OCCUPATION_TYPE.Drivers" 0.000691692506616776 NA 0.00110435364203388
"199" "OBS_30_CNT_SOCIAL_CIRCLE" 0.000675647589873423 NA 0.00147765628159462
"200" "NAME_YIELD_GROUP_low_normal" 0.000661889837480186 NA 0.00152431911153972
"201" "LIVINGAREA_AVG" 0.000661089929008519 NA 0.00121323357857243
"202" "APARTMENTS_AVG" 0.000658215350315539 NA 0.0011821250252757
"203" "DAYS_FIRST_DRAWING_MIN" 0.000649983184797403 NA 0.00115101647197897
"204" "AMT_CREDIT_LIMIT_ACTUAL_SUM" 0.000640279865421908 NA 0.00136877634505607
"205" "CREDIT_ACTIVE_Closed" 0.000639815975395599 NA 0.0013998848983528
"206" "Add_DIFF_DAYS_LAST_DUE_PREV_MIN" 0.000637373916080593 NA 0.00147765628159462
"207" "BASEMENTAREA_MODE" 0.000635149182071466 NA 0.0011821250252757
"208" "Add_DIFF_PAYMENT_RECEIVABLE_PRINCIPAL_CARD_MEAN" 0.000632741077262042 NA 0.000777713832418223
"209" "BUREAU_STATUS_ENTROPY_MIN" 0.000632373527237826 NA 0.00129100496181425
"210" "Add_DIFF_PAYMENT_DRAWINGS_CARD_MAX" 0.00063227209728564 NA 0.00133766779175934
"211" "PRODUCT_COMBINATION_Cash_X.Sell._high" 0.000631743164523701 NA 0.000933256598901868
"212" "WEEKDAY_APPR_PROCESS_START_MONDAY" 0.000631049750882172 NA 0.00129100496181425
"213" "WEEKDAY_APPR_PROCESS_START_SATURDAY" 0.000630431585458195 NA 0.00152431911153972
"214" "NONLIVINGAREA_AVG" 0.000626659025460084 NA 0.00133766779175934
"215" "NAME_CONTRACT_STATUS_Approved" 0.000624871558636045 NA 0.000808822385714952
"216" "NUM_INSTALMENT_VERSION_6" 0.000618009287024419 NA 0.0011821250252757
"217" "CODE_REJECT_REASON_LIMIT" 0.000614366908403598 NA 0.000622171065934579
"218" "APARTMENTS_MEDI" 0.00061405746418397 NA 0.00150876483489135
"219" "AMT_GOODS_PRICE_MEAN" 0.000599705755046309 NA 0.0013998848983528
"220" "CNT_DRAWINGS_POS_CURRENT_MEAN" 0.000597277238151932 NA 0.00143099345164953
"221" "AMT_DRAWINGS_CURRENT_MEAN" 0.000572355735655716 NA 0.000746605279121494
"222" "PRODUCT_COMBINATION_POS_industry_with_interest" 0.000566777938088325 NA 0.000482182576099299
"223" "OCCUPATION_TYPE.Laborers" 0.000565758404604447 NA 0.000746605279121494
"224" "BASEMENTAREA_AVG" 0.000561975841637998 NA 0.00125989640851752
"225" "DAYS_FIRST_DRAWING_MEAN" 0.000554967600131658 NA 0.000684388172528037
"226" "CREDIT_currency.1" 0.000544865814541621 NA 0.000995473705495326
"227" "Add_CARD_DRAWINGS_POS_per_CNT_MAX" 0.000543700508376809 NA 0.00105769081208878
"228" "FLOORSMAX_AVG" 0.00054192212989761 NA 0.000699942449176401
"229" "NAME_TYPE_SUITE_miss" 0.000533747585863708 NA 0.00125989640851752
"230" "Add_DIFF_DRAWINGS_LIMIT_CARD_MEAN" 0.000527751495421089 NA 0.00113546219533061
"231" "ORGANIZATION_TYPE.Business.Entity.Type.3" 0.000521992906833877 NA 0.000964365152198597
"232" "NAME_YIELD_GROUP_middle" 0.000520046441469518 NA 0.00104213653544042
"233" "CHANNEL_TYPE_Country.wide" 0.000514215407036909 NA 0.00115101647197897
"234" "HOUR_APPR_PROCESS_START_10" 0.000513129925264718 NA 0.00116657074862734
"235" "NA_AMT_CREDIT_MAX_OVERDUE" 0.00051168904897156 NA 0.00087103949230841
"236" "Add_CARD_DRAWINGS_ATM_per_CNT_MEAN" 0.000511664833973012 NA 0.000979919428846962
"237" "NONLIVINGAREA_MODE" 0.00051080620216792 NA 0.00110435364203388
"238" "BUREAU_STATUS_C_MEAN" 0.000509453755209141 NA 0.00108879936538551
"239" "WEEKDAY_APPR_PROCESS_START_TUESDAY" 0.000505565718235927 NA 0.00133766779175934
"240" "LANDAREA_MODE" 0.000504217278233114 NA 0.00107324508873715
"241" "AMT_ANNUITY_MEAN" 0.00050295225782505 NA 0.00135322206840771
"242" "AMT_CREDIT_SUM_LIMIT_SUM" 0.000499279476075491 NA 0.000902148045605139
"243" "LANDAREA_AVG" 0.00048783883782421 NA 0.000948810875550232
"244" "WEEKDAY_APPR_PROCESS_START_FRIDAY" 0.000486609007794755 NA 0.00113546219533061
"245" "NAME_PORTFOLIO_Cash" 0.000484306458935186 NA 0.000886593768956775
"246" "NAME_CLIENT_TYPE_Repeater" 0.000476007363034684 NA 0.000979919428846962
