"Feature" "Gain" "Cover" "Frequency"
"191" "AMT_ANNUITY_SUM" 1093.7615377903 5469657 116
"192" "Add_DIFF_BALANCE_LIMIT_CARD_MEAN" 1086.42888092995 8740241 104
"193" "BUREAU_STATUS_1_MEAN" 1079.17905163765 6901020 93
"194" "AMT_CREDIT_SUM_LIMIT_MEAN" 1064.93207120895 8994422 114
"195" "LIVINGAREA_AVG" 1058.9766254425 5143601 116
"196" "OBS_30_CNT_SOCIAL_CIRCLE" 1056.35682344437 4201213 128
"197" "NAME_SELLER_INDUSTRY_Connectivity" 1022.71848511696 10092431 104
"198" "NA_EXT_SOURCE_3" 1022.00639915466 3958188 72
"199" "WEEKDAY_APPR_PROCESS_START_MONDAY" 1010.67144608498 4021373 120
"200" "AMT_CREDIT_LIMIT_ACTUAL_SUM" 1009.82599401474 12320922 127
"201" "OBS_60_CNT_SOCIAL_CIRCLE" 996.331206202507 5813938 121
"202" "APARTMENTS_AVG" 989.79501247406 4100150 93
"203" "NAME_TYPE_SUITE_Unaccompanied" 984.794446349144 9742847 127
"204" "Credit_card_Nr" 979.563718318939 6259424 107
"205" "AMT_REQ_CREDIT_BUREAU_QRT" 963.692888736725 10370974 82
"206" "NAME_CLIENT_TYPE_New" 957.264728069305 8790259 85
"207" "SK_DPD_MEAN_POS" 950.443791389465 21271611 131
"208" "WEEKDAY_APPR_PROCESS_START_THURSDAY" 947.475073575974 10370739 113
"209" "AMT_CREDIT_SUM_LIMIT_MAX" 930.715420722961 6193471 104
"210" "CODE_REJECT_REASON_SCOFR" 921.047844648361 3953501 31
"211" "APARTMENTS_MODE" 918.86563539505 5712431 95
"212" "BASEMENTAREA_MODE" 908.324009180069 4944374 97
"213" "Nr_BUREAU" 890.277163743973 10894843 108
"214" "AMT_ANNUITY_MEAN" 888.631124377251 15493508 125
"215" "NAME_CONTRACT_STATUS_Approved" 865.873532056808 2914963 68
"216" "CHANNEL_TYPE_Country.wide" 862.811983346939 5804124 100
"217" "RATE_DOWN_PAYMENT_MIN" 858.608710050583 6856715 108
"218" "CHANNEL_TYPE_Credit_and_cash_offices" 857.020938873291 10974099 103
"219" "WEEKDAY_APPR_PROCESS_START_SATURDAY" 842.965478658676 10400370 121
"220" "NFLAG_INSURED_ON_APPROVAL_NA" 835.622057914734 6247127 84
"221" "AMT_GOODS_PRICE_MEAN" 832.086699604988 10907972 111
"222" "CNT_DRAWINGS_POS_CURRENT_MEAN" 829.731090188026 18120907 111
"223" "BUREAU_STATUS_C_MEAN" 824.754000663757 7421171 99
"224" "Add_DIFF_DAYS_LAST_DUE_PREV_MIN" 820.792981624603 14739789 110
"225" "NAME_TYPE_SUITE_miss" 819.273957133293 8804456 103
"226" "PRODUCT_COMBINATION_Cash_Street._high" 817.916806697845 4628607 49
"227" "BUREAU_STATUS_ENTROPY_MIN" 809.865849256516 8641191 95
"228" "NONLIVINGAREA_AVG" 808.013708114624 7091405 103
"229" "AMT_CREDIT_SUM_LIMIT_SUM" 807.406065702438 5075528 92
"230" "Add_DIFF_DRAWINGS_LIMIT_CARD_MEAN" 806.372542381287 12053243 102
"231" "WEEKDAY_APPR_PROCESS_START_TUESDAY" 796.582411646843 14024380 122
"232" "LANDAREA_AVG" 770.948146343231 2356218 85
"233" "NONLIVINGAREA_MODE" 752.741616249084 3175816 81
