Feature,Gain,Cover,Frequency,run
AMT_BALANCE_TREND,172.756946325302,543730,34,1
Add_DIFF_RECEIVABLE_BALANCE_CARD_MEAN,172.516425609589,175286,30,1
AMT_CREDIT_MAX_OVERDUE_MEAN,171.641564130783,523232,28,1
NAME_PRODUCT_TYPE_miss,168.229276657105,3114425,37,1
AMT_ANNUITY_SUM,167.243329048157,1756678,35,1
WEEKDAY_APPR_PROCESS_START_THURSDAY,166.172382354736,1495766,38,1
COMMONAREA_AVG,165.356691360474,96990,30,1
DAYS_TERMINATION_MIN,164.326337337494,80495,27,1
AMT_CREDIT_MIN,164.074220180511,230402,29,1
AMT_INSTALMENT_MAX,163.410195589066,47130,31,1
HOUR_APPR_PROCESS_START_11,158.554491758347,1166393,32,1
YEARS_BUILD_AVG,158.343592643738,64628,32,1
Add_DIFF_PAYMENT_DRAWINGS_CARD_MEAN,157.37576508522,1097700,33,1
AMT_APPLICATION_MEAN,157.218493938446,148707,30,1
LIVINGAPARTMENTS_AVG,155.537441968918,550105,31,1
DAYS_INSTALMENT_MEAN,152.765459060669,185024,32,1
LANDAREA_AVG,152.167412519455,142719,27,1
DAYS_FIRST_DUE_MIN,152.088570594788,451898,29,1
DAYS_LAST_DUE_1ST_VERSION_MAX,149.607112646103,222099,31,1
DAYS_TERMINATION_MEAN,148.699536561966,364846,31,1
NAME_TYPE_SUITE_Unaccompanied,148.421771287918,526829,30,1
Add_DIFF_RECEIVABLE_PRINCIPAL_BALANCE_CARD_MAX,147.681594610214,2516640,34,1
BUREAU_STATUS_ENTROPY_MEAN,147.267612457275,210037,27,1
Add_DIFF_DRAWINGS_LIMIT_CARD_MEAN,143.13533949852,139012,27,1
BUREAU_MONTH_BALANCE_MIN_MIN,141.632924079895,439799,26,1
NUM_INSTALMENT_VERSION_7,140.477531671524,1035387,35,1
Add_DIFF_BALANCE_LIMIT_CARD_MEAN,140.389858961105,331105,31,1
NUM_INSTALMENT_VERSION_12,138.550825357437,5632678,34,1
DAYS_LAST_DUE_1ST_VERSION_MIN,138.229336023331,302776,24,1
AMT_PAYMENT_MAX,137.815000534058,288398,25,1
APARTMENTS_MODE,137.788594961166,506308,23,1
BASEMENTAREA_MODE,135.610037565231,352907,27,1
DAYS_CREDIT_MEAN,135.372880339623,109969,28,1
LIVINGAPARTMENTS_MEDI,134.711518645287,1226301,30,1
AMT_REQ_CREDIT_BUREAU_QRT,132.788603067398,4286780,31,1
DAYS_FIRST_DUE_MEAN,131.843671321869,108667,23,1
SELLERPLACE_AREA_32,131.305028915405,543377,25,1
PRODUCT_COMBINATION_POS_household_with_interest,131.072802782059,72422,19,1
AMT_CREDIT_SUM_DEBT_MEAN,130.733025312424,588607,28,1
Nr_BUREAU,130.560072660446,226390,21,1
DAYS_LAST_DUE_1ST_VERSION_MEAN,129.855584383011,136514,23,1
CNT_INSTALMENT_FUTURE_MEAN,129.00800049305,111553,26,1
AMT_CREDIT_LIMIT_ACTUAL_MEAN,128.223774194717,1107109,26,1
CNT_PAYMENT_MAX,124.580262899399,2606885,29,1
AMT_GOODS_PRICE,123.082031726837,355190,24,1
NUM_INSTALMENT_VERSION_4,122.354440808296,1313996,26,1
NONLIVINGAREA_AVG,121.921398639679,293101,22,1
BASEMENTAREA_MEDI,121.379729986191,150773,24,1
CNT_DRAWINGS_OTHER_CURRENT_MEAN,121.337964057922,2378046,30,1
DAYS_FIRST_DRAWING_MEAN,120.531481266022,909063,27,1
