Feature,Gain,Cover,Frequency
NAME_CONTRACT_STATUS_POSCASH_Completed,74.885591506958,12947,4
NUM_INSTALMENT_VERSION_5,73.6561489105225,6215,4
Add_RATIO_PHONE_EMPLOYED,72.8318490982056,3362,4
Add_CREDIT_per_FAM,69.9749708175659,1304,4
WALLSMATERIAL_MODE.Panel,69.9132747650147,7868,4
DAYS_INSTALMENT_MAX,66.5984506607056,9918,4
Nr_INSTALLMENTS_PREV,66.4549312591553,6291,4
DAYS_ENDDATE_FACT_MAX,65.8306427001953,3421,4
Add_DIFF_PAYMENT_INST_MIN_CARD_MAX,65.6427440643311,2537,4
DAYS_LAST_DUE_MEAN,64.9568500518799,410,3
DAYS_CREDIT_UPDATE_MEAN,62.0407695770264,2175,3
NAME_PORTFOLIO_Cards,58.696382522583,2207,3
Add_RATIO_PAYMENT_PREV_MAX,55.8514490127564,4164,3
Add_DIFF_MEAN_INSTALMENT_FUTURE,55.3773708343506,710,3
AMT_TOTAL_RECEIVABLE_MEAN,54.8786239624024,28303,2
FLOORSMAX_AVG,53.7920875549316,4015,3
AMT_PAYMENT_CURRENT_MEAN,53.7889289855957,7705,3
NAME_SELLER_INDUSTRY_Connectivity,53.6450519561768,1966,3
AMT_BALANCE_INTERCEPT,52.9850425720215,3254,3
BUREAU_STATUS_2_MEAN,51.6834516525269,7627,3
AMT_ANNUITY_SUM,50.5361061096192,16583,3
DAYS_TERMINATION_MAX,50.2801055908203,3798,3
BUREAU_STATUS_ENTROPY_MEAN,50.2576637268066,1519,3
Add_DIFF_DRAWINGS_LIMIT_CARD_MAX,49.9312896728516,515,3
BASEMENTAREA_AVG,49.6948766708374,1161,3
Credit_card_Nr,49.3895626068115,1454,3
AMT_CREDIT_MAX_OVERDUE_MIN,48.8425235748291,1319,3
NAME_CONTRACT_TYPE_Revolving_loans,48.417028427124,2813,3
Add_RATIO_PHONE_BIRTH,48.0008134841919,1175,3
NAME_CASH_LOAN_PURPOSE_13,46.9268684387207,12286,3
EMERGENCYSTATE_MODE.miss,43.3937492370606,259,2
Add_CREDIT_per_ADULT,42.16921043396,14570,2
DAYS_LAST_DUE_MAX,41.0660209655762,2277,2
AMT_GOODS_PRICE_MAX,39.9903964996338,614,2
AMT_CREDIT_SUM_MAX,39.0280628204346,3263,2
NONLIVINGAPARTMENTS_AVG,37.7050800323486,1122,2
AMT_CREDIT_MAX,37.5344467163086,1011,2
Nr_BUREAU,36.585901260376,5087,2
AMT_DRAWINGS_CURRENT_MEAN,36.5835380554199,1814,2
NAME_PORTFOLIO_miss,36.5722312927246,1814,2
AMT_APPLICATION_MIN,36.5152397155762,1131,2
PRODUCT_COMBINATION_Cash_X.Sell._high,35.678071975708,1993,2
DAYS_FIRST_DRAWING_MIN,35.2234554290772,6529,2
NONLIVINGAREA_AVG,34.8047180175781,3695,2
Add_RATIO_INSTALMENT_LEFT_TREND_MEAN,33.8759346008301,1593,2
Nr_POSCASH_MONTH_MEAN,33.8553113937378,812,2
NAME_PORTFOLIO_Cash,33.7517242431641,521,2
CNT_CREDIT_PROLONG_SUM,33.3961067199707,509,2
AMT_PAYMENT_TOTAL_CURRENT_MEAN,33.0312013626099,2870,2
HOUR_APPR_PROCESS_START,32.552677154541,2199,2
